"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1240","0","0","0","80.15","0","28.65","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1260","0","0","0","72.5","0","23","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1280","0","0","0","65.45","0","18.3","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1060","0","0","0","178","0","130.4","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1080","0","0","0","164.4","0","114.6","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1100","0","0","0","151.55","0","99.8","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1120","0","0","0","139.35","0","86","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1140","0","0","0","127.85","0","73.45","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1160","0","0","0","117","0","62.1","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","920","0","0","0","288.7","0","258.85","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","940","0","0","0","271.4","0","239.4","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","960","0","0","0","254.5","0","220.15","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","980","0","0","0","238.1","0","201.2","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1000","0","0","0","222.2","0","182.6","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1020","0","0","0","206.85","0","164.55","0","0","0","0","0","1169.6"
"APOLLOHOSP","09-May-2019","27-Jun-2019","CE","1460","0","0","0","23.9","0","1.55","0","0","0","0","0","1169.6"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1440","0","0","0","26.9","0","2.65","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1020","0","0","0","206.85","0","179.85","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1480","0","0","0","21.15","0","1.45","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1500","0","0","0","18.75","0","1.05","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1520","0","0","0","16.55","0","0.75","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1540","0","0","0","14.6","0","0.55","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1300","0","0","0","58.95","0","17.6","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1320","0","0","0","53","0","13.85","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1340","0","0","0","47.55","0","10.75","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1360","0","0","0","42.65","0","8.3","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1380","0","0","0","38.15","0","6.35","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1400","0","0","0","34.05","0","4.8","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1420","0","0","0","30.25","0","3.6","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1180","0","0","0","106.8","0","60.4","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1200","0","0","0","97.3","0","50.45","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1220","0","0","0","88.4","0","41.7","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1240","0","0","0","80.15","0","34.15","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1260","0","0","0","72.5","0","27.65","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1280","0","0","0","65.45","0","22.2","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1040","0","0","0","192.15","0","161.85","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1060","0","0","0","178","0","144.5","0","0","0","0","0","1186.55"
"APOLLOHOSP","10-May-2019","27-Jun-2019","CE","1080","0","0","0","164.4","0","127.9","0","0","0","0","0","1186.55"
