Symbol,Date,Expiry,Option Type,Strike Price,Open,High,Low,Close,LTP,Settle Price,No. of contracts,Turnover in Lacs,Premium Turnover in Lacs,Open Int,Change in OI,Underlying Value
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1460,0,0,0,104.6,0,80.2,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1480,0,0,0,124,124,95.65,0,0,0,1100,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1500,0,0,0,128.05,0,112.15,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1520,0,0,0,140.7,0,129.55,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1540,0,0,0,153.85,0,147.6,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1560,0,0,0,167.6,0,166.2,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1580,0,0,0,181.85,0,185.2,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1600,0,0,0,196.7,0,204.5,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1620,0,0,0,211.9,0,224,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1640,0,0,0,227.45,0,243.65,0,0,0,0,0,1390.7
BATAINDIA,06-Jun-2019,27-Jun-2019,PE,1040,0,0,0,1.95,0,0,0,0,0,0,0,1390.7
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1020,0,0,0,2.7,2.7,0,0,0,0,1650,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1040,0,0,0,1.95,0,0,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1060,0,0,0,2.65,0,0,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1080,0,0,0,3.5,0,0,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1100,0,0,0,3,3,0.05,0,0,0,1100,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1120,0,0,0,6,0,0.05,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1140,0,0,0,7.7,0,0.05,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1160,0,0,0,9.7,0,0.15,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1180,0,0,0,12.1,0,0.3,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1200,0,0,0,4.3,4.3,0.6,0,0,0,6600,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1220,0,0,0,1.8,1.8,1.1,0,0,0,6600,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1240,0,0,0,4,4,2,0,0,0,5500,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1260,2.5,2.5,2.5,2.5,2.5,2.5,1,6.94,0.01,11000,-550,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1280,5,5,5,5,5,5,2,14.14,0.06,9900,-550,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1300,7.15,10,7.1,7.35,7.1,7.35,16,115.16,0.76,37950,4400,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1320,11.7,15.2,10,11.65,11.35,11.65,22,161.31,1.59,19800,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1340,16.7,22,14.95,16.4,15.45,16.4,184,1375.21,19.13,20350,2200,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1360,23.55,31,20.7,23.4,25.15,23.4,172,1311.03,24.47,22000,-3850,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1380,32,41.2,28.3,34.55,35,34.55,92,716.1,17.82,10450,2750,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1400,38.05,52,38.05,45.6,45.6,45.6,9,71.58,2.28,40150,550,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1420,62.35,62.35,59.25,59.25,59.25,59.25,7,57.04,2.37,2200,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1440,0,0,0,112,112,72.45,0,0,0,4400,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1460,0,0,0,104.6,0,87.7,0,0,0,0,0,1379.1
BATAINDIA,07-Jun-2019,27-Jun-2019,PE,1480,0,0,0,124,124,104.05,0,0,0,1100,0,1379.1
